M_r   logMbary(logMsun) Re(kpc)
all units have assumed Ho=70 km/s
-18.232 9.285 1.128
-18.497 9.748 4.825
-19.023 9.465 2.606
-18.530 9.285 3.966
-20.924 10.305 4.798
-18.529 9.645 2.730
-18.789 9.659 3.123
-18.121 9.225 2.219
-18.470 8.875 5.512
-18.117 9.175 2.837
-19.232 9.895 2.822
-17.910 9.105 1.994
-19.431 9.855 2.387
-19.673 9.935 2.068
-18.662 9.535 3.420
-21.039 10.355 3.011
-19.398 9.930 3.088
-18.455 9.452 2.195
-20.292 10.282 2.377
-18.428 9.505 2.647
-19.678 9.945 1.772
-18.193 9.215 2.872
-17.797 9.145 2.048
-18.924 9.425 1.888
-17.699 9.055 0.963
-18.426 9.405 3.426
-20.021 10.185 3.574
-19.873 10.055 1.244
-17.543 9.085 2.349
-18.108 9.265 2.551
-18.565 9.415 1.599
-18.882 9.645 2.538
-19.169 9.755 2.923
-17.581 9.125 1.824
-18.156 9.315 3.076
-18.288 9.345 2.062
-18.403 9.475 3.513
-17.713 9.065 1.974
-20.076 9.854 4.955
-19.427 9.915 1.834
-17.898 9.265 2.253
-18.923 9.785 2.064
-17.753 9.245 2.325
-17.938 9.235 1.726
-18.531 9.405 3.118
-18.591 9.595 1.454
-18.284 9.355 2.844
-18.434 9.415 3.567
-19.818 9.975 2.204
-19.263 9.885 2.002
-17.751 9.155 1.155
-18.418 9.415 2.200
-18.201 9.295 3.952
-18.384 9.165 1.435
-18.217 9.445 2.717
-17.910 9.205 3.439
-19.036 9.785 2.630
-19.226 9.755 1.320
-17.936 9.135 2.033
-20.378 10.065 6.585
-18.334 9.305 1.739
-18.039 9.235 1.563
-17.862 9.015 2.190
-19.139 9.715 4.309
-18.537 9.585 5.089
-18.241 9.525 1.430
-17.685 9.155 1.133
-18.468 9.385 1.572
-17.861 9.065 1.421
-18.908 9.435 2.680
-19.794 9.948 5.562
-18.727 9.425 1.711
-18.134 9.225 1.374
-18.122 9.285 1.213
-17.782 9.015 2.701
-18.876 9.755 3.685
-18.468 9.395 2.288
-18.510 9.585 0.684
-18.156 9.345 1.584
-18.519 9.435 2.284
-18.605 9.555 1.661
-20.928 10.555 2.332
-18.409 9.455 1.275
-18.770 9.705 2.150
-18.456 9.245 3.088
-18.906 9.555 3.963
-19.350 9.895 4.941
-19.489 9.865 2.239
-19.150 9.705 3.241
-18.625 9.425 2.520
-18.120 9.385 2.556
-19.183 9.715 6.110
-21.929 10.995 5.408
-17.676 9.185 2.370
-18.186 9.285 2.296
-19.168 9.795 3.932
-19.308 9.735 4.018
-17.730 9.165 1.483
-18.352 9.325 1.907
-18.826 9.615 2.025
-18.116 9.155 1.135
-18.416 9.465 3.652
-18.615 9.575 4.155
-20.121 9.947 1.967
-19.119 9.595 2.457
-19.206 9.215 7.941
-18.932 9.495 4.241
-18.414 9.615 3.905
-18.526 9.465 2.135
-18.497 9.335 2.195
-18.429 9.295 1.570
-18.279 9.285 1.589
-18.538 9.395 3.634
-18.805 9.445 2.134
-20.473 10.165 5.840
-18.539 9.325 2.197
-19.181 9.815 2.607
-19.352 9.855 2.770
-18.240 9.485 2.472
-18.725 9.445 3.975
-19.176 9.605 3.003
-18.342 9.315 2.023
-18.713 9.615 5.113
-18.227 9.355 1.333
-18.553 9.635 4.290
-20.515 10.335 3.688
-20.483 10.165 4.535
-17.831 9.635 1.430
-18.925 9.635 6.548
-18.600 9.505 1.065
-20.038 10.075 2.807
-18.817 9.675 3.966
-19.365 9.465 8.870
-18.215 9.285 1.532
-18.487 9.465 3.383
-18.254 9.314 2.160
-20.997 10.345 6.375
-19.215 9.805 4.029
-18.532 9.588 4.919
-19.663 9.857 3.861
-18.656 9.643 5.297
-18.320 9.620 4.066
-20.770 10.355 5.660
-20.376 10.195 3.971
-21.415 10.455 2.756
-20.689 10.495 5.208
-20.941 10.385 5.470
-21.651 10.735 7.332
-21.713 10.899 4.982
-20.597 10.375 3.957
-20.514 10.373 3.789
-22.614 11.155 11.345
-21.412 10.495 6.119
-20.749 10.454 4.439
-21.779 10.905 3.018
-20.303 10.315 4.411
-20.843 10.335 4.604
-20.840 10.435 4.177
-20.958 10.315 4.577
-20.131 10.195 2.142
-19.076 9.685 1.018
-20.557 10.435 2.381
-20.007 10.225 3.058
-21.338 10.695 4.676
-20.014 10.025 2.709
-21.254 10.634 4.116
-21.071 10.565 5.131
-19.833 10.025 1.854
-21.957 11.035 8.245
-20.328 10.325 4.062
-19.578 9.776 5.059
-20.683 10.245 4.595
-22.946 11.415 8.216
-18.768 9.615 5.503
-19.399 9.945 6.569
-21.642 10.555 7.234
-20.237 10.205 5.515
-19.644 9.662 2.804
-20.056 10.021 5.370
-21.548 10.717 8.056
-20.701 10.387 6.801
-19.861 10.090 1.892
-20.210 10.141 7.603
-21.907 10.875 8.681
-20.462 10.125 6.021
-21.120 10.627 3.337
-21.119 10.495 4.829
-21.122 10.705 2.711
-20.781 10.195 2.434
-20.731 10.385 3.827
-20.312 10.175 4.507
-19.877 10.037 2.411
-20.306 10.175 6.159
-22.385 11.135 8.406
-19.766 9.989 5.746
-21.684 10.735 4.682
-18.347 9.605 2.026
-21.481 10.825 4.030
-19.447 10.049 6.386
-21.855 10.895 4.953
-22.112 10.965 4.724
-21.026 10.135 4.835
-19.909 10.005 3.521
-20.640 10.268 3.800
-19.431 9.795 2.950
-21.233 10.708 3.605
-20.971 10.385 3.864
-21.497 10.775 4.120
-22.444 11.105 4.464
-20.201 10.085 2.669
-20.856 10.429 7.411
-20.488 10.020 4.327
-20.334 10.085 4.642
-20.945 10.396 5.308
-20.930 10.375 5.828
-19.079 9.501 1.768
-20.477 10.385 2.226
-20.203 10.345 2.963
-21.936 10.865 7.773
-21.125 10.655 6.509
-21.221 10.675 4.324
-20.391 10.315 2.413
-21.090 10.705 10.666
-19.823 10.015 2.728
-18.835 9.755 3.133
-21.570 10.715 8.242
-20.083 9.942 4.019
-21.373 10.771 8.507
-20.198 9.969 3.539
-19.476 9.688 1.948
-20.737 10.305 4.855
-20.507 10.115 4.218
-22.378 10.875 13.112
-22.498 11.115 11.391
-21.417 10.815 3.362
-20.554 10.337 2.759
-21.023 10.555 3.487
-21.526 11.005 9.800
-21.335 10.543 4.115
-21.527 10.589 4.621
-21.762 10.875 5.023
-21.953 11.085 4.068
-20.170 10.025 3.989
-21.478 10.475 4.743
-20.210 10.135 1.896
-21.399 10.745 4.720
-19.283 9.895 3.768
-23.260 11.545 15.720
-21.653 10.885 6.337
-20.901 10.535 4.063
-19.242 9.795 2.015
-20.621 10.416 5.012
-21.114 10.685 3.503
-20.989 10.425 4.938
-21.177 10.635 3.163
-20.849 10.585 2.254
-20.468 10.375 3.187
-20.080 10.022 5.334
-18.608 9.485 1.915
-20.768 10.435 3.436
-19.571 9.895 1.744
-19.737 9.985 1.951
-20.663 10.365 2.639
-19.799 9.904 2.720
-20.485 10.325 1.250
-21.317 10.765 4.131
-21.067 10.707 7.293
-21.245 10.565 2.730
-19.806 10.055 2.696
-21.625 10.775 5.972
-21.473 10.615 5.461
-21.125 10.625 3.674
-20.769 10.275 4.913
-20.360 10.015 2.851
-21.863 10.835 8.280
-21.686 10.905 9.552
-23.229 11.515 25.185
-21.674 10.745 6.220
-21.453 10.764 8.895
-19.981 10.095 3.913
-20.739 10.345 4.769
-20.900 10.515 2.760
-21.700 10.865 3.734
-21.309 10.845 3.069
-21.362 10.555 6.879
-22.514 11.245 7.731
-19.864 9.955 2.415
-18.939 9.575 1.468
-22.428 11.195 9.680
-21.086 10.705 3.075
-20.566 10.450 3.468
-21.125 10.611 3.001
-20.589 10.575 6.168
-20.585 10.415 1.844
-19.367 9.815 3.707
-22.078 11.075 5.990
-20.486 10.435 2.333
-20.980 10.714 2.998
-20.292 10.230 6.377
-20.651 10.335 5.532
-20.543 10.085 3.469
-21.975 11.005 8.637
-22.237 11.152 7.100
-21.571 10.645 8.445
-20.285 10.385 1.683
-20.317 10.105 4.036
-20.845 10.425 3.188
-21.092 10.525 5.671
-20.195 10.275 1.958
-22.860 11.295 13.396
-19.224 9.606 2.759
-21.169 10.745 2.671
-20.806 10.625 8.658
-20.573 10.135 2.212
-18.982 9.735 3.317
-22.709 11.075 18.640
-18.731 9.533 2.717
-22.112 11.095 4.722
-20.564 10.315 3.669
-20.474 10.298 4.964
-21.411 10.815 6.085
-20.422 10.155 3.296
-19.576 9.689 2.207
-20.636 10.335 4.694
-22.017 10.952 10.122
-22.434 10.935 7.072
-21.612 10.795 3.334
-19.935 10.128 5.121
-19.356 9.896 4.867
-20.652 10.499 2.240
-19.481 9.895 2.040
-20.208 10.005 2.031
-18.777 9.725 3.507
-20.942 10.345 3.610
-18.742 9.506 2.603
-22.067 10.725 6.656
-21.094 10.508 4.125
-20.624 10.220 4.603
-20.587 10.247 3.059
-20.318 10.251 6.669
-19.382 9.585 3.784
-19.524 10.035 5.008
-20.678 10.345 2.979
-19.536 9.854 5.479
-20.355 10.230 2.744
-19.982 10.410 9.484
-21.062 10.545 2.979
-19.930 10.325 5.038
-21.722 10.765 5.605
-20.233 10.075 2.851
-22.002 11.075 3.853
-20.476 10.315 3.133
-21.215 10.555 4.614
-21.710 10.855 5.396
-20.151 10.135 2.920
-21.490 10.565 7.802
-21.377 10.585 7.350
-18.813 9.771 3.355
-20.056 10.016 4.577
-19.100 9.645 1.366
-19.849 9.797 3.972
-20.961 10.265 3.976
-19.281 10.095 3.896
-20.196 10.145 2.102
-20.609 10.512 1.863
-21.332 10.655 7.165
-19.564 9.875 1.594
-21.496 10.803 4.663
-20.146 9.860 2.708
-21.410 10.745 2.740
-19.409 9.855 1.518
-21.177 10.395 5.388
-20.585 10.355 4.455
-19.823 9.975 5.077
-20.460 10.275 3.560
-20.989 10.455 3.196
-20.383 10.285 3.760
-19.480 9.874 5.315
-20.915 10.345 3.030
-20.398 10.075 2.521
-20.526 10.405 3.384
-20.366 10.332 6.132
-22.258 10.805 5.907
-20.312 10.025 3.863
-21.980 10.745 9.153
-19.774 10.047 6.586
-22.937 11.335 11.515
-20.977 10.266 6.175
-22.386 11.195 7.335
-21.707 10.825 5.408
-20.987 10.516 3.895
-20.724 10.335 2.541
-21.317 10.725 5.709
-21.303 10.505 5.250
-21.994 10.835 8.199
-20.957 10.365 4.524
-20.311 10.225 3.952
-20.940 10.495 3.721
-19.812 10.025 5.256
-21.911 10.865 14.574
-20.736 10.335 3.485
-21.551 10.585 5.568
-19.889 9.765 2.769
-22.130 10.895 4.684
-20.186 10.284 2.893
-21.335 10.703 4.718
-19.659 9.835 3.986
-21.038 10.525 3.170
-20.325 10.303 2.700
-21.392 10.695 6.318
-20.411 10.355 6.426
-20.145 10.188 5.930
-21.410 10.615 2.580
-20.066 9.927 4.820
-19.973 10.021 6.099
-20.615 10.147 4.116
-18.813 9.705 2.950
-21.154 10.706 4.808
-20.870 10.379 2.350
-21.744 10.719 7.026
-21.511 10.635 8.161
-20.781 10.415 7.007
-18.465 9.525 2.716
-19.259 9.685 2.152
-22.994 11.275 14.326
-20.452 10.290 4.435
-22.293 11.095 5.590
-20.419 10.245 4.307
-21.719 10.685 4.626
-20.180 10.025 1.690
-19.361 9.755 1.574
-20.265 10.155 5.812
-20.595 10.432 7.680
-21.335 10.615 7.044
-20.781 10.595 2.692
-21.116 10.425 8.108
-18.241 9.475 1.738
-21.116 10.595 5.517
-19.315 9.938 6.160
-19.846 10.115 1.391
-19.873 9.785 6.452
-20.477 10.365 3.589
-20.672 10.245 6.635
-20.266 10.129 2.231
-21.811 10.958 4.122
-19.630 10.255 5.848
-20.875 10.355 2.192
-20.706 10.395 7.003
-21.230 11.035 6.636
-21.860 10.798 5.818
-21.168 10.635 5.359
-21.528 10.635 5.690
-19.676 10.005 1.611
-21.211 10.835 8.554
-19.992 10.095 4.478
-21.813 10.855 6.086
-22.001 11.155 6.066
-21.213 10.485 5.369
-20.118 9.975 2.903
-21.263 10.505 3.728
-21.943 11.025 4.719
-20.628 10.387 5.345
-20.655 10.445 3.621
-19.738 9.978 4.847
-21.343 10.575 3.450
-20.777 10.345 4.929
-20.305 10.419 5.706
-21.380 10.715 4.228
-20.950 10.461 5.594
-20.458 10.212 3.089
-20.824 10.404 1.989
-21.644 10.815 5.908
-19.910 9.955 6.740
-21.083 10.655 2.972
-18.955 9.725 3.633
-21.188 10.495 3.318
-21.080 10.695 3.907
-20.436 10.265 7.006
-20.515 10.099 2.367
-22.130 11.015 8.208
-19.726 10.035 1.828
-19.059 9.590 2.998
-20.544 10.215 8.105
-20.758 10.265 4.752
-19.652 9.855 2.682
-19.446 9.737 3.335
-19.879 10.162 2.982
-20.153 10.110 2.562
-20.146 10.115 3.506
-20.604 10.515 1.707
-21.437 10.335 11.417
-20.826 10.486 8.399
-21.474 10.803 4.089
-20.966 10.565 3.196
-20.930 10.425 5.529
-21.102 10.445 4.628
-20.579 10.135 4.373
-21.127 10.695 5.287
-21.025 10.595 2.586
-19.696 10.105 3.903
-21.684 10.915 6.505
-19.907 10.035 3.223
-21.907 10.885 3.909
-21.871 10.955 7.849
-18.874 9.813 3.389
-21.008 10.565 2.991
-18.785 9.635 2.671
-21.187 10.755 2.788
-22.541 11.125 12.492
-21.937 10.625 12.768
-21.506 10.825 3.981
-20.373 10.314 3.526
-20.485 10.165 2.351
-20.672 10.215 2.747
-21.703 10.695 4.589
-20.167 9.894 4.708
-18.522 9.455 1.528
-21.159 10.717 2.963
-21.433 10.803 10.077
-22.150 11.095 5.572
-21.761 10.857 4.217
-21.126 10.375 4.077
-19.387 9.865 5.067
-20.571 10.185 3.552
-20.573 10.195 2.795
-20.321 10.065 3.633
-20.896 10.275 4.839
-18.810 9.525 6.385
-20.738 10.347 2.256
-21.170 10.602 2.483
-21.137 10.681 3.462
-20.521 10.317 4.363
-21.878 10.995 4.833
-19.563 10.075 7.178
-20.455 10.250 7.952
-20.593 10.306 5.115
-20.627 10.206 3.381
-22.735 11.365 10.605
-21.660 10.925 16.545
-20.610 10.500 3.152
-22.960 11.405 17.845
-19.683 9.715 4.058
-23.103 11.455 19.093
-22.748 11.275 9.524
-21.105 10.575 2.963
-19.645 9.968 3.881
-20.709 10.570 3.787
-21.651 10.762 9.382
-23.564 11.632 22.140
-19.520 10.125 5.278
-21.341 10.605 3.513
-21.752 10.715 5.575
-21.217 10.700 4.235
-21.920 10.958 4.555
-22.518 11.255 8.612
-20.293 10.193 4.106
-21.232 10.745 3.822
-21.047 10.476 3.960
-21.089 10.615 2.715
-20.743 10.205 5.557
-23.236 11.525 17.723
-20.578 10.285 2.099
-21.072 10.689 3.671
-19.423 9.855 4.217
-21.581 10.735 7.015
-21.883 11.045 4.529
-20.774 10.285 5.395
-20.497 10.215 3.456
-21.605 10.725 5.875
-21.798 10.835 5.663
-21.232 10.825 6.465
-20.555 10.145 3.713
-19.911 10.185 3.620
-21.023 10.702 4.431
-21.941 11.055 5.235
-22.276 11.145 8.177
-20.227 10.248 2.404
-20.569 10.410 3.726
-21.036 10.375 4.854
-21.066 10.535 9.352
-20.551 10.205 7.345
-20.586 10.133 3.268
-19.644 9.895 2.801
-21.833 10.675 6.016
-21.574 10.795 5.451
-22.281 11.165 6.193
-21.259 10.838 4.104
-21.938 10.935 4.964
-22.470 11.205 7.792
-20.607 10.365 3.241
-19.296 9.621 2.207
-20.532 10.265 5.971
-21.193 10.465 3.610
-21.236 10.558 4.142
-21.764 10.755 7.055
-21.349 10.555 3.398
-20.027 9.995 3.256
-21.137 10.425 4.843
-21.132 10.725 6.534
-20.526 10.125 21.677
-20.676 10.335 5.705
-20.785 10.535 4.555
-20.357 10.192 2.589
-19.661 9.985 1.768
-21.377 10.565 15.759
-20.866 10.465 5.321
-19.223 9.571 2.778
-21.470 10.775 3.607
-22.522 11.156 14.241
-21.166 10.497 4.103
-21.417 10.805 4.506
-21.091 10.690 4.142
-19.870 9.935 5.494
-20.875 10.415 3.294
-21.782 10.825 4.185
-19.798 9.976 6.015
-21.236 10.675 4.189
-21.356 10.695 5.101
-21.100 10.629 3.349
-20.816 10.495 2.458
-21.198 10.785 3.167
-20.195 10.245 2.813
-20.704 10.345 2.472
-22.358 11.165 8.423
-20.965 10.365 5.492
-21.351 10.565 2.966
-21.811 10.895 8.233
-20.812 10.495 6.967
-21.449 10.709 3.593
-19.889 10.036 2.220
-21.710 10.755 3.874
-20.232 10.095 6.633
-20.274 10.065 2.591
-19.184 9.755 4.588
-18.927 9.765 2.171
-21.123 10.655 3.903
-21.031 10.435 8.507
-20.123 10.303 3.655
-20.746 10.405 4.839
-22.115 11.015 11.755
-19.897 10.035 4.496
-22.302 11.145 10.951
-21.529 10.899 3.463
-22.145 10.885 7.034
-21.085 10.625 8.970
-21.358 10.824 3.494
-20.894 10.462 7.059
-20.666 10.345 2.549
-20.999 10.405 7.600
-22.304 11.215 10.979
-21.001 10.505 2.411
-22.613 11.305 10.051
-22.218 10.905 7.942
-20.618 10.305 2.933
-21.899 10.925 6.393
-20.754 10.315 4.256
-21.477 10.794 6.006
-20.979 10.469 2.618
-21.034 10.365 3.722
-21.746 10.585 5.785
-20.927 10.501 4.041
-20.067 10.165 5.569
-20.928 10.315 4.027
-20.821 10.265 7.034
-20.504 10.275 2.130
-19.901 10.130 1.781
-20.160 10.065 2.373
-19.662 10.027 4.467
-21.683 10.769 7.774
-22.428 11.035 4.456
-21.782 10.895 3.536
-22.267 10.915 4.999
-19.879 9.925 2.642
-20.237 9.925 2.129
-20.577 10.315 1.703
-21.641 10.445 5.697
-21.225 10.605 4.242
-20.817 10.475 5.973
-20.429 10.203 5.880
-21.135 10.425 8.213
-22.075 11.085 7.275
-18.678 9.705 1.114
-20.037 10.465 4.232
-19.528 9.815 3.448
-22.499 11.235 11.945
-21.611 10.555 8.804
-20.707 10.665 10.109
-19.555 10.185 3.804
-20.427 10.374 2.240
-20.166 10.365 3.699
-21.128 10.747 2.530
-20.228 10.125 6.324
-21.102 10.635 2.890
-20.384 10.205 2.331
-21.733 10.925 4.908
-20.634 10.501 3.367
-21.315 10.775 3.241
-20.856 10.415 3.167
-20.019 10.068 5.684
-20.366 10.353 3.129
-20.336 10.110 3.815
-21.084 10.675 2.730
-21.001 10.395 4.543
-20.340 10.315 2.974
-21.305 10.800 5.345
-21.471 10.775 12.073
-21.780 10.895 5.280
-21.002 10.455 4.455
-23.103 11.465 29.015
-21.079 10.593 5.702
-21.089 10.595 3.636
-20.966 10.503 2.999
-20.454 10.426 2.360
-21.960 10.955 6.217
-22.490 10.885 5.294
-18.296 9.595 2.471
-21.957 10.945 6.208
-20.160 10.145 2.906
-21.676 10.835 7.085
-21.541 10.775 3.603
-19.352 9.955 2.087
-20.750 10.335 3.310
-20.250 10.405 5.589
-21.058 10.575 4.559
-20.666 10.168 3.630
-21.706 10.777 7.159
-20.510 10.245 1.604
-21.334 10.715 5.150
-20.039 9.988 5.643
-20.456 10.370 3.431
-21.087 10.587 7.902
-20.381 10.206 6.392
-20.928 10.387 2.501
-20.507 9.962 3.350
-21.611 10.605 4.705
-21.421 10.660 7.685
-20.923 10.195 2.452
-19.017 9.765 3.109
-20.279 10.194 2.333
-20.172 10.246 1.908
-20.777 10.350 6.488
-21.305 10.745 3.406
-19.433 9.924 2.531
-18.748 9.085 4.377
-21.123 10.465 8.948
-20.341 10.075 6.161
-19.679 9.855 4.088
-21.234 10.652 5.547
-19.019 9.875 3.864
-21.508 10.855 3.419
-20.293 9.918 4.804
-20.755 10.452 4.516
-22.028 11.057 4.738
-21.077 10.575 4.528
-21.269 10.565 7.038
-22.160 11.151 5.677
-21.413 10.785 4.820
-21.797 10.961 4.830
-20.949 10.055 4.129
-22.548 11.185 9.653
-20.853 10.235 3.589
-20.328 10.476 3.294
-20.781 10.525 4.348
-20.418 10.215 3.747
-20.345 10.247 3.950
-20.965 10.258 4.032
-21.335 10.705 4.323
-20.734 10.195 3.987
-20.656 10.265 4.043
-20.303 10.145 3.030
-21.417 10.755 5.900
-21.360 10.796 3.101
-22.102 10.665 8.926
-20.799 10.436 6.083
-20.077 10.105 5.711
-18.111 9.126 2.868
-21.472 10.820 4.301
-20.561 10.155 3.403
-21.942 10.915 7.730
-21.716 10.635 3.971
-20.339 10.163 5.841
-21.637 10.385 8.161
-20.632 10.275 3.043
-21.358 10.725 7.590
-20.440 10.335 4.939
-20.550 10.111 5.145
-20.951 10.446 3.586
-19.665 9.990 3.649
-20.518 10.225 4.312
-21.716 10.825 9.527
-20.914 10.285 7.890
-19.264 10.142 3.654
-21.236 10.729 2.570
-20.277 10.115 3.045
-22.875 11.254 10.197
-20.426 10.145 4.122
-19.232 9.922 3.143
-20.780 10.265 4.998
-20.405 10.192 3.944
-20.866 10.461 7.474
-20.239 10.573 6.103
-22.819 11.355 17.375
-19.513 10.192 4.958
-20.352 10.249 6.573
-21.632 10.905 6.174
-20.314 10.049 1.991
-21.164 10.355 7.089
-19.819 9.908 4.220
-20.512 10.535 1.555
-21.485 10.806 4.502
-21.203 10.539 3.051
-22.418 11.195 9.088
-20.130 9.913 3.286
-21.590 10.789 9.119
-21.604 10.925 4.113
-20.849 10.442 6.382
-21.699 10.725 6.614
-21.825 10.865 5.652
-20.845 10.405 7.245
-20.645 10.468 2.002
-20.413 10.342 5.636
-22.098 11.041 6.532
-21.108 10.465 8.690
-20.721 10.245 6.154
-19.478 9.963 1.722
-21.163 10.695 3.755
-20.503 10.245 2.952
-21.127 10.705 4.396
-20.901 10.255 6.770
-21.008 10.675 2.298
-20.683 10.205 4.747
-19.258 10.225 7.045
-21.084 10.432 7.009
-19.970 10.144 6.260
-21.388 10.504 7.312
-20.587 10.189 5.039
-19.916 9.895 4.923
-20.779 10.216 6.081
-20.257 9.859 3.646
-20.280 10.090 5.318
-21.708 10.707 10.238
-20.635 10.155 2.669
-20.836 10.583 7.315
-19.029 9.583 2.662
-20.181 10.265 7.810
-20.412 9.949 4.272
-19.737 9.975 1.886
-20.701 10.395 5.932
-18.832 9.690 2.146
-22.178 11.097 15.672
-20.399 10.275 3.892
-21.087 10.525 5.000
-21.078 10.545 5.382
-20.578 10.245 4.007
-21.776 10.246 10.252
-20.177 10.389 7.305
-20.850 10.335 1.399
-19.854 10.033 5.106
-20.394 10.335 4.273
-22.293 11.140 6.481
-20.166 10.261 2.829
-21.636 10.883 5.440
-19.902 9.895 2.095
-19.540 9.972 5.009
-21.140 10.495 5.260
-20.758 10.355 4.455
-20.216 10.130 2.920
-20.628 10.365 2.310
-21.142 10.515 6.141
-21.107 10.685 7.319
-21.076 10.712 3.173
-19.829 10.025 4.240
-19.584 9.915 4.988
-20.412 10.055 1.984
-23.083 11.513 8.944
-20.757 10.305 5.631
-22.686 11.316 11.752
-19.415 9.985 2.830
-21.530 10.335 1.532
-21.032 10.465 5.204
-18.006 9.555 4.207
-21.444 10.666 3.524
-21.822 10.923 5.308
-20.338 10.145 4.518
-20.793 10.225 3.218
-21.095 10.494 6.397
-19.188 9.493 1.415
-20.539 10.185 6.095
-21.264 10.645 9.317
-19.802 10.145 3.208
-22.336 11.205 8.714
-20.112 9.945 2.858
-21.186 10.425 5.839
-21.001 10.537 2.952
-19.877 10.045 7.555
-20.937 10.828 10.151
-20.247 10.191 7.193
-20.285 10.087 3.306
-20.499 10.185 3.726
-21.876 10.865 6.436
-22.296 11.075 7.876
-19.638 9.609 3.827
-20.810 10.348 7.895
-20.563 10.285 3.642
-20.720 10.555 1.909
-21.270 10.760 2.985
-21.437 10.747 4.349
-20.620 10.293 3.906
-21.459 10.565 8.037
-19.715 9.679 2.017
-20.417 10.185 3.808
-20.717 10.105 4.038
-21.561 10.885 4.703
-20.272 10.215 6.006
-20.171 10.075 3.589
-21.129 10.582 4.094
-20.159 9.955 4.938
-19.755 9.752 4.522
-19.710 9.958 1.528
-20.721 10.524 6.118
-19.817 10.045 2.052
-21.135 10.595 2.942
-20.923 10.475 9.155
-19.728 10.005 3.121
-22.647 11.025 7.902
-20.657 10.306 7.374
-20.772 10.460 4.527
-21.425 10.635 4.086
-19.593 10.085 5.517
-19.704 9.995 6.121
-21.335 10.645 5.741
-21.996 11.055 5.243
-21.340 10.595 2.614
-21.644 10.825 16.296
-19.519 10.155 5.820
-22.676 10.995 12.551
-20.258 10.243 3.114
-21.484 10.745 5.136
-20.887 10.325 2.573
-22.424 11.135 9.370
-22.315 11.059 3.319
-21.326 10.705 4.845
-20.504 10.245 6.866
-21.171 10.555 2.718
-21.277 10.465 5.555
-23.819 11.805 23.657
-21.520 10.835 6.145
-21.919 10.905 21.900
-21.688 10.895 6.323
-20.164 10.045 5.747
-21.397 10.615 6.240
-20.093 10.225 3.073
-21.326 10.775 5.156
-22.448 11.025 6.177
-20.386 10.047 2.605
-20.905 10.545 2.585
-20.390 10.382 1.913
-21.479 10.575 8.209
-20.996 10.485 3.066
-21.767 11.015 4.273
-21.499 10.848 3.758
-21.613 10.431 2.720
-20.806 10.355 4.961
-20.672 10.415 2.857
-18.246 9.581 3.572
-19.987 9.975 2.800
-21.331 10.519 10.158
-19.879 10.092 1.646
-21.735 10.921 4.766
-22.159 11.020 11.118
-20.042 9.884 3.659
-22.161 10.855 6.145
-21.903 11.025 6.580
-20.774 10.235 3.915
-22.078 10.780 5.051
-20.823 10.565 6.974
-20.436 10.284 4.213
-21.210 10.535 3.745
-22.105 11.017 11.208
-20.149 9.995 2.826
-17.842 9.351 1.170
-20.564 10.295 9.909
-21.136 10.575 7.694
-20.132 9.965 2.630
-21.068 10.744 3.461
-21.461 10.761 7.537
-21.605 10.805 5.969
-21.047 10.435 3.700
-21.221 10.627 4.195
-20.656 10.255 3.554
-20.828 10.199 4.965
-21.577 10.863 4.347
-21.328 10.795 7.987
-20.904 10.555 3.614
-21.024 10.625 4.867
-20.254 10.095 2.306
-21.354 10.675 4.838
-18.481 9.455 3.830
-20.296 10.305 2.321
-19.280 9.635 3.090
-20.091 10.004 3.529
-21.629 10.940 8.134
-19.801 9.982 1.543
-21.074 10.709 4.130
-21.815 10.885 3.566
-21.616 10.902 3.920
-19.285 9.365 1.377
-22.904 11.434 20.971
-21.155 10.433 4.210
-18.688 9.753 5.241
-21.264 10.784 3.036
-19.256 9.735 2.218
-20.934 10.668 2.670
-21.902 10.801 5.115
-21.169 10.519 2.620
-20.898 10.625 2.646
-20.486 10.146 2.947
-21.602 10.755 3.359
-23.525 11.652 31.372
-19.938 10.169 1.351
-20.919 10.545 4.813
-20.692 10.239 5.238
-20.660 10.622 3.563
-22.665 11.335 8.578
-21.366 10.721 2.889
-21.535 10.775 4.061
-21.293 10.803 2.346
-20.328 10.295 1.878
-20.342 10.337 2.497
-20.506 10.385 1.825
-19.870 10.195 2.065
-18.338 9.435 2.424
-20.733 10.305 4.535
-19.069 9.745 3.499
-21.685 10.810 8.849
-21.340 10.655 4.824
-21.546 10.815 6.926
-21.955 11.057 5.907
-19.415 9.922 1.289
-20.416 10.145 6.435
-20.763 10.551 2.057
-19.651 10.105 2.083
-22.174 11.095 6.737
-21.380 10.695 3.852
-19.939 9.585 2.862
-21.218 10.524 6.576
-20.770 10.530 2.436
-21.769 10.982 5.797
-20.070 9.915 2.675
-20.446 10.528 1.848
-21.400 10.781 4.133
-21.974 10.655 5.017
-21.863 10.899 6.884
-21.009 10.215 6.207
-22.150 11.045 5.076
-20.254 10.370 1.621
-20.352 10.385 2.007
-21.163 10.535 4.413
-21.580 10.922 3.643
-20.548 10.527 1.882
-22.599 10.905 18.354
-20.210 10.346 1.727
-21.997 10.494 13.707
-21.318 10.729 4.082
-23.740 11.713 21.853
-19.561 9.845 4.546
-21.163 10.795 3.923
-20.943 10.595 3.609
-20.814 10.514 2.511
-21.408 10.535 4.698
-20.948 10.285 5.480
-21.749 10.965 5.037
-21.269 10.563 5.859
-20.785 10.335 3.241
