M_r   logMbary(logMsun) Re(kpc)
all units have assumed Ho=70 km/s
-17.451 8.845 1.302
-17.350 9.515 0.539
-17.997 9.175 3.999
-17.476 9.095 0.705
-17.519 9.135 1.532
-18.737 9.735 10.989
-17.464 9.225 2.476
-17.401 8.885 2.351
-17.595 9.195 1.039
-17.828 9.655 1.408
-17.406 9.435 0.765
-17.519 9.235 1.154
-17.427 9.176 3.000
-17.867 9.735 2.159
-17.397 9.015 2.407
-17.557 9.185 1.130
-17.419 9.005 0.645
-17.559 9.085 1.008
-20.902 10.345 3.093
-17.532 8.935 2.143
-17.453 9.155 3.804
-17.642 9.255 2.785
-17.540 8.915 2.471
-17.669 9.165 3.036
-17.672 9.145 3.488
-17.459 8.905 2.384
-17.577 8.955 1.716
-17.597 8.985 0.872
-17.481 8.915 1.087
-17.718 9.235 5.066
-17.520 8.833 1.325
-17.328 8.775 1.075
-17.415 8.726 1.937
-17.727 9.085 3.220
-17.232 8.965 1.209
-17.520 8.955 1.568
-17.403 8.835 1.544
-17.387 8.825 1.852
-17.415 8.925 1.697
-17.487 8.955 2.421
-17.352 9.277 2.256
-17.436 8.865 1.012
-17.441 8.986 2.490
-17.433 8.915 2.313
-17.336 8.786 1.119
-17.585 9.244 2.791
-17.381 9.155 1.087
-17.489 9.055 1.538
-17.624 8.925 2.795
-17.549 9.035 1.515
-17.788 9.205 2.705
-17.368 9.000 1.583
-17.485 9.168 2.042
-17.504 9.330 2.094
-17.416 8.925 1.501
-17.523 9.317 1.350
-18.265 9.594 4.211
-17.560 9.095 2.227
-17.494 9.264 1.617
-17.411 9.024 2.561
-17.521 9.473 2.922
-17.452 9.155 2.661
-17.409 8.835 1.270
-17.575 9.295 3.390
-17.740 9.075 3.284
-17.447 8.815 1.235
-17.481 9.155 1.657
-17.543 9.115 2.470
-17.468 9.566 3.252
-17.396 8.955 2.526
-17.439 9.005 0.968
-17.544 9.305 2.149
-17.864 8.955 5.853
-17.555 9.125 1.461
-17.576 9.025 1.843
-17.382 8.995 2.581
-17.708 9.085 1.738
-17.875 9.205 2.407
-17.529 9.325 1.293
-17.341 8.955 0.893
-17.515 8.885 1.072
-17.374 9.095 2.028
-17.782 9.045 3.794
-17.460 9.015 2.594
-17.610 9.155 1.615
-17.432 9.125 1.972
-17.422 9.165 1.905
-17.441 8.875 1.960
-18.130 9.540 2.621
-17.339 8.935 0.794
-17.447 8.975 1.427
-17.528 9.105 1.639
-18.017 9.265 1.797
-17.561 8.805 1.987
-17.470 9.005 3.002
-17.578 9.241 1.418
-17.517 8.995 1.667
-17.436 8.935 1.814
-17.542 9.115 2.670
-17.401 8.975 1.945
-17.532 8.905 1.223
-17.541 9.125 2.472
-17.489 8.975 1.126
-17.721 9.475 2.268
-17.340 9.365 2.421
-17.352 8.965 1.335
-17.441 8.984 1.655
-17.403 8.855 1.013
-17.501 8.965 1.042
-17.472 8.855 2.268
-17.360 9.305 0.943
-17.761 9.065 1.650
-17.425 8.975 1.484
-17.450 9.265 1.777
-17.572 9.055 2.149
-17.825 9.265 2.055
-17.585 9.468 3.223
-17.559 9.115 1.911
-17.561 8.945 1.226
-17.484 9.085 1.162
-17.609 9.455 3.505
-17.479 9.185 1.206
-17.582 9.295 2.680
-17.376 8.845 1.129
-17.763 9.035 3.376
-17.437 9.115 3.275
-17.930 9.125 3.305
-17.452 8.995 1.892
-17.695 9.615 2.200
-17.423 8.925 1.624
-17.525 9.005 1.614
-17.356 8.865 1.078
-17.604 9.105 1.351
-17.564 9.155 1.853
-17.602 9.199 3.184
-17.417 8.815 1.646
-17.401 8.915 2.752
-17.680 9.005 2.175
-17.352 9.085 2.004
-17.438 9.175 1.555
-17.568 8.915 1.452
-17.783 9.085 1.725
-17.499 9.065 1.166
-17.528 8.915 2.423
-17.473 8.875 1.249
-17.639 9.295 2.068
-17.494 9.095 2.672
-18.625 9.595 6.180
-17.677 9.065 1.066
-17.392 9.065 1.584
-17.451 9.205 2.764
-17.402 9.215 2.573
-18.127 9.525 4.900
-17.575 9.125 1.949
-17.433 9.557 2.812
-17.696 8.975 2.080
-17.819 9.175 3.069
-17.898 9.215 2.206
-17.537 9.085 1.854
-17.432 8.875 1.565
-18.327 9.345 3.007
-17.394 9.005 2.546
-17.516 9.425 2.577
-17.510 9.015 1.497
-17.400 9.005 1.449
-17.612 9.625 1.862
-17.460 8.935 0.846
-18.170 9.455 3.383
-17.422 8.995 1.856
-17.608 9.275 4.035
-17.472 8.955 1.809
-17.622 9.165 2.241
-17.713 8.975 1.734
-17.487 9.235 3.395
-17.560 8.875 1.615
-17.412 9.165 1.162
-17.526 9.315 1.459
-17.674 9.055 1.150
-17.417 9.345 2.795
-17.509 9.065 1.764
-17.480 9.365 1.452
-17.405 8.935 2.153
-17.537 9.015 1.300
-17.472 8.935 1.225
-17.357 8.815 0.801
-17.558 9.185 0.828
-17.341 9.015 1.215
-17.545 8.955 1.012
-17.628 9.110 1.006
-17.314 9.224 0.960
-17.399 9.052 1.570
-17.443 9.410 1.200
-17.291 9.555 1.960
-17.523 9.015 1.069
-17.450 8.975 1.688
-17.244 9.364 1.978
-17.538 9.136 3.915
-17.818 9.288 3.302
-17.536 8.925 1.253
-17.710 9.509 1.611
